Country,Year,Mortality Rate,Oil Consumption per capita (tonnes per year),Population,GDP per capita (US$),Continent,GDP per capita (log US$)
United Arab Emirates,1965,149.7,1.77,173797,7412,Asia,8.91085558740525
Argentina,1965,32.6,0.98,22053661,1285,South America,7.158513997329321
Australia,1965,22.4,1.49,11388000,2281,Oceania,7.732369222284388
Austria,1965,32.7,0.76,7270889,1374,Europe,7.2254814727822945
Azerbaijan,1965,23.3,3.21,4574650,18842,Asia,9.843843699608612
Bangladesh,1965,236.6,1.26,58500159,100,Asia,4.605170185988092
Bulgaria,1965,37.4,0.45,8204168,12389,Europe,9.424564261115739
Belarus,1965,30.2,0.99,8610000,7427,Europe,8.912877287669296
Brazil,1965,149.2,0.18,84623747,265,South America,5.579729825986222
Canada,1965,27.1,2.74,19678000,2770,North America,7.926602599181384
Switzerland,1965,22.6,1.38,5856472,2620,Europe,7.8709295967551425
Chile,1965,115.4,0.39,8994936,679,South America,6.520621127558696
China,1965,164.2,0.02,715185000,98,Asia,4.584967478670572
Colombia,1965,114.9,0.18,18275814,315,South America,5.752572638825633
Germany,1965,108.1,1.14,75963695,1173,Europe,7.067319848653476
Denmark,1965,21.1,2.15,4759012,24557,Europe,10.108752224963046
Algeria,1965,244.3,0.11,12381256,253,Africa,5.53338948872752
Ecuador,1965,152.4,0.13,5337351,447,South America,6.102558594613569
Spain,1965,42.3,0.44,31954292,774,Europe,6.651571873589727
Finland,1965,20.2,1.25,4563732,1882,Europe,7.540090320145325
France,1965,22.3,1.11,49282756,2060,Europe,7.630461261783627
United Kingdom,1965,23.4,1.37,54348050,1873,Europe,7.5352967024440884
Greece,1965,39.6,0.52,8550333,899,Europe,6.80128303447162
Hungary,1965,44.6,0.37,10147935,5978,Europe,8.695841342843883
Indonesia,1965,229.0,0.06,101157868,2047,Asia,7.624130585661289
India,1965,227.8,0.03,500114346,119,Asia,4.77912349311153
Ireland,1965,28.6,0.84,2877300,1023,Europe,6.930494765951626
Iceland,1965,19.2,2.5,192286,2723,Europe,7.909489492673759
Italy,1965,41.1,1.02,52112350,1304,Europe,7.1731917424865985
Japan,1965,24.6,0.9,97952000,928,Asia,6.833031732786201
Kazakhstan,1965,14.1,1.55,10897644,13779,Asia,9.530900972993903
"Korea, Rep.",1965,86.9,0.05,28704674,108,Asia,4.68213122712422
Kuwait,1965,98.9,10.64,513840,4081,Asia,8.314097335405807
Lithuania,1965,36.7,2.43,2971450,9603,Europe,9.169830828637973
Mexico,1965,127.5,0.32,42737991,511,North America,6.236369590203704
Malaysia,1965,68.6,0.21,9091016,325,Asia,5.783825182329737
Netherlands,1965,18.3,2.07,12294732,1708,Europe,7.443078374348516
Norway,1965,19.7,1.39,3723168,2164,Europe,7.679713639966372
New Zealand,1965,23.1,1.03,2628400,2151,Oceania,7.67368812926773
Pakistan,1965,212.9,0.07,51841626,114,Asia,4.736198448394496
Peru,1965,194.1,0.31,11781581,438,South America,6.082218910376446
Philippines,1965,90.3,0.14,32805538,198,Asia,5.288267030694535
Poland,1965,45.7,0.17,31444950,11169,Europe,9.320897362540826
Portugal,1965,84.8,0.31,8998595,520,Europe,6.253828811575473
Qatar,1965,62.4,0.9,64843,5430,Asia,8.599694412927981
Romania,1965,53.1,0.38,19031576,6911,Europe,8.840869624091395
Saudi Arabia,1965,9.4,4.09,4978922,19952,Asia,9.901084667919818
Singapore,1965,35.1,2.04,1886900,516,Asia,6.246106765481563
Slovak Republic,1965,20.0,0.53,4370983,33566,Europe,10.421268928868125
Sweden,1965,16.3,2.45,7733853,3206,Europe,8.072779333169498
Thailand,1965,122.2,0.07,30940270,141,Asia,4.948759890378168
Turkmenistan,1965,24.3,4.31,1897095,11032,Asia,9.308555419473137
Ukraine,1965,41.6,1.39,45387091,12574,Europe,9.439386468943006
United States,1965,27.1,2.75,194303000,3827,North America,8.249836485425702
Uzbekistan,1965,32.4,1.04,10130096,6571,Asia,8.790421306897867
South Africa,1965,53.0,0.28,19187194,681,Africa,6.523562306149512
United Arab Emirates,1966,138.9,2.1,182509,7068,Asia,8.863332833439587
Argentina,1966,44.6,1.0,22403116,1277,South America,7.152268856032539
Australia,1966,22.1,1.56,11651000,2343,Oceania,7.759187438507795
Austria,1966,31.5,0.83,7322066,1486,Europe,7.303843225277705
Azerbaijan,1966,20.6,2.14,4708150,20949,Asia,9.949846191514146
Bangladesh,1966,233.5,0.87,60265259,106,Asia,4.663439094112067
Bulgaria,1966,37.1,0.51,8258057,13488,Europe,9.509555680241636
Belarus,1966,31.9,1.07,8696496,12318,Europe,9.418816886246988
Brazil,1966,145.8,0.19,86979283,325,South America,5.783825182329737
Canada,1966,26.0,2.82,20048000,3047,North America,8.021912778985708
Switzerland,1966,21.6,1.45,5918002,2784,Europe,7.931644021454311
Chile,1966,103.8,0.42,9161649,781,South America,6.660575149839686
China,1966,159.3,0.02,735400000,104,Asia,4.6443908991413725
Colombia,1966,111.4,0.21,18811407,288,South America,5.662960480135946
Germany,1966,101.7,1.26,76600311,1035,Europe,6.942156705699469
Denmark,1966,20.0,2.41,4797381,2487,Europe,7.818832443803404
Algeria,1966,245.0,0.14,12613389,241,Africa,5.484796933490655
Ecuador,1966,148.8,0.13,5495761,442,South America,6.091309882077698
Spain,1966,40.3,0.52,32283194,889,Europe,6.790097235513905
Finland,1966,19.2,1.51,4580869,2010,Europe,7.605890001053122
France,1966,21.4,1.17,49817041,2209,Europe,7.700295203420117
United Kingdom,1966,22.8,1.45,54648500,1986,Europe,7.593877844605118
Greece,1966,38.5,0.56,8613651,997,Europe,6.904750769961838
Hungary,1966,43.2,0.41,10178653,5342,Europe,8.583355393669907
